name,affiliation,lettergroup,inferredgender,inferredethnicity,inferredisurm,highered,institution,research,country,role,security,field,simplefield
francis su,harvey mudd college,A Only,man,asian,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
chiheon kim,kakao brain,A Only,man,asian,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
vanessa rivera quiäè_äè__ones,university of illinois,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
cheryl grood,swarthmore college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
megan e sawyer,southern new hampshire university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
jennifer v jones,fairleigh dickinson university,A Only,woman,NA,NA,NA,domesticother,lessri,NA,NA,NA,NA,NA
rachel weir,allegheny college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
nina fefferman,university of tennessee,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
amber verser,bowling green state university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,grad,lesssecure,other,other
frederick peck,university of montana,A Only,man,white,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,math,mathstat
paul salomon,john burroughs school,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
aram dermenjian,york university,A Only,man,NA,NA,highered,international,moreri,canada,grad,lesssecure,math,mathstat
noah weiss,university of wisconsin eau claire,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
jasmine foo,university of minnesota,A Only,woman,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
makeda brome,fort pierce westwood high school,A Only,woman,black,urm,nothighered,NA,NA,NA,NA,NA,NA,NA
jonathan k hodge,grand valley state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
joshua holden,rose hulman institute of technology,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
maria basterra,university of new hampshire,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
bill rosenthal,city university of new york,A Only,man,white,noturm,highered,domesticr1,moreri,NA,retired,moresecure,math,mathstat
erica r miller,virginia commonwealth university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
stuart boersma,central washington university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
julie seitz,youngstown state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,staff,lesssecure,math,mathstat
eileen murray,montclair state university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,mathed,mathed
sharona krinsky,california state university los angeles,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
brooke shipley,university of illinois at chicago,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
kyle ferendo,brown university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
jordan kostiuk,brown university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
philip hotchkiss,westfield state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
anita o'mellan,youngstown state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
matilde marcolli,california institute of technology,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
omayra ortega,sonoma state university,A Only,woman,black,urm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
scott beaver,western oregon university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
rebecca segal,virginia commonwealth university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
jennifer a wolfe,university of arizona,A Only,woman,NA,NA,highered,domesticr1,moreri,NA,associate,moresecure,mathed,mathed
mark w ellis,california state university fullerton,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
steven greenstein,montclair state university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
cynthia flores,california state university channel islands,A Only,woman,latinx,urm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
alejandra rincon hidalgo,ictp,A Only,woman,white,noturm,highered,international,moreri,italy,ntt,lesssecure,math,mathstat
stephanie baker,university of texas at austin,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,staff,lesssecure,mathed,mathed
rami grossberg,carnegie mellon university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
john f gibson,university of new hampshire,A Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
alissa crans,loyola marymount university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
j toufic chahin,university of texas at austin,A Only,man,NA,NA,highered,domesticr1,moreri,NA,grad,NA,mathed,mathed
nitsa movshovitz hadar,technion israel institute of technology,A Only,woman,middleeast,noturm,highered,international,moreri,israel,retired,moresecure,math,mathstat
mary k porter,saint marys college of indiana,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
allison henrich,seattle university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
ranjan rohatgi,saint marys college of indiana,A Only,man,asian,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
tarik aougab,haverford college,A Only,man,middleeast,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
julianne vega,university of kentucky,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
selenne baäè_äè__uelos,california state university channel islands,A Only,woman,latinx,urm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
david neel,seattle university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
calvin jongsma,dordt university,A Only,man,white,noturm,highered,domesticother,lessri,NA,retired,moresecure,math,mathstat
jonathan dunbar,st norbert college,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
anne catlla,wofford college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
christopher miles,new york university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
ellen veomett,saint marys college of california,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
emma gargroetzi,stanford university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,mathed,mathed
mark beering,el sausal middle school,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
monica l miles,cornell university,A Only,woman,black,urm,highered,domesticr1,moreri,NA,NA,NA,other,other
anurag katyal,palm beach state college,A Only,man,asian,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
lee worden,university of california san francisco,A Only,man,white,noturm,highered,domesticr1,moreri,NA,NA,NA,other,other
virgil u pierce,university of northern colorado,A Only,man,white,noturm,highered,domesticother,lessri,NA,staff,lesssecure,math,mathstat
carrie muir,whatcom community college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,NA,NA,math,mathstat
aditya p adiredja,university of arizona,A Only,man,asian,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,mathed,mathed
simon kelly,santa clara university,A Only,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
immanuel williams,cal poly san luis obispo,A Only,man,black,urm,highered,domesticother,lessri,NA,ntt,lesssecure,stat,mathstat
alexander s moore,virginia tech,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,mathed,mathed
julian f fleron,westfield state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
gage martin,boston college,A Only,woman,NA,NA,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
gabriela hamerlinck,university of florida,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,other,other
jieun seong,georgia institute of technology,A Only,NA,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
fany salazar,university of arizona,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
hassan rafique,university of iowa,A Only,man,middleeast,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
jill bigley dunham,chapman university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,math,mathstat
sonja petrovic,illinois institute of technology,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
moshe cohen,suny new paltz,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
christina eubanks turner,loyola marymount university,A Only,woman,black,urm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
stephanie chang,GoDaddy,A Only,woman,asian,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
rafael monteiro,advanced institute for materials research,A Only,man,latinx,urm,highered,international,moreri,japan,NA,NA,math,mathstat
elisa celis,yale university,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,stat,mathstat
maarten mckubre jordens,university of canterbury,A Only,man,white,noturm,highered,international,moreri,new zealand,ntt,lesssecure,other,other
elizabeth niese,marshall university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
keith m jones,suny oneonta,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
dany waller,morehead state university,A Only,woman,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
juan villeta garcia,emory university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
diana davis,swarthmore college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
sarah k salmon,university of colorado,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
joshua cooper,university of south carolina,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
rebecca garcia,sam houston state university,A Only,woman,NA,NA,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
christopher marcotte,university of exeter,A Only,man,white,noturm,highered,international,moreri,united kingdom,ntt,lesssecure,math,mathstat
andrea young,ripon college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
jennifer schaefer,dickinson college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
russell brown,university of kentucky,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
sean sather wagstaff,clemson university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
julie rana,lawrence university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
soledad villar,new york university,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,ntt,lesssecure,stat,mathstat
brittney miller,coe college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
kristin kuter,saint marys college of indiana,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
sarah wright,fitchburg state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
benjamin cote,western oregon university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
alexander rasmussen,yale university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
jean philippe chasse,university of montreal,A Only,man,white,noturm,highered,international,moreri,canada,grad,lesssecure,math,mathstat
jonathan beardsley,georgia institute of technology,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
taylor e martin,sam houston state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
peter kagey,university of southern california,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
crystal clough,university of cincinnati,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
yang xiao,brown university,A Only,woman,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
aisha mechery,bryn mawr college,A Only,woman,NA,NA,highered,domesticother,lessri,NA,undergrad,lesssecure,math,mathstat
isaac sundberg,bryn mawr college,A Only,man,white,noturm,highered,domesticother,lessri,NA,grad,lesssecure,math,mathstat
eileen melville,clemson university,A Only,woman,NA,NA,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
jeremy f alm,lamar university,A Only,man,NA,NA,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
hillary einziger,university of cincinnati,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
kayden mimmack,university of california davis,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
ricardo cortez,tulane university,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
derek l smith,NA,A Only,man,white,noturm,NA,NA,NA,NA,NA,NA,NA,NA
carmen caprau,california state university fresno,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
mitch haeuser,iowa state university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
benjamin levitt,triinstitutional mdphd program,A Only,man,white,noturm,highered,domesticother,lessri,NA,staff,lesssecure,stat,mathstat
jennifer kenkel,university of kentucky,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
sean raleigh,westminster college utah,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
jan cameron,vassar college,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
jonathan alcaraz,university of california riverside,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
abba gumel,arizona state university,A Only,man,black,urm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
stephan sturm,worcester polytechnic institute,A Only,man,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
lisa demeyer,central michigan university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
sarah a nelson,lenoirrhyne university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
megan breit goodwin,anokaramsey community college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
john nardini,north carolina state university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
wendy m smith,university of nebraska,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
jim hartman,college of wooster,A Only,man,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
areeba ikram,colorado school of mines,A Only,woman,middleeast,noturm,highered,domesticr2,lessri,NA,ntt,lesssecure,math,mathstat
alexis byers,youngstown state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
lindsey bosko dunbar,st norbert college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
bianca viray,university of washington,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
adam castillo,florida international university,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
rodrigo gutierrez,university of arizona,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,NA,NA,math,mathstat
christina edholm,scripps college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
carter johnson,university of california davis,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
ellen gasparovic,union college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
gabriel dorfsman hopkins,university of california berkeley,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
"eric ""rico"" gutstein",university of illinois at chicago,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,mathed,mathed
klaus volpert,villanova university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
vitaly lorman,university of rochester,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
kathryn link,university of utah,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
matthias kawski,arizona state university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
tony samuel,university of birmingham,A Only,man,white,noturm,highered,international,moreri,united kingdom,assistant,lesssecure,math,mathstat
cathery yeh,chapman university,A Only,woman,asian,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,mathed,mathed
ana rita pires,university of edinburgh,A Only,woman,white,noturm,highered,international,moreri,NA,assistant,lesssecure,math,mathstat
axel brandt,northern kentucky university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
ihsan topaloglu,virginia commonwealth university,A Only,man,middleeast,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
audrey malagon,virginia wesleyan university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
john rock,cal poly pomona,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
jeffrey x watt,indiana u purdue u indianapolis,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
kayla gibson,university of iowa,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,undergrad,lesssecure,math,mathstat
anila yadavalli,university of minnesota,A Only,woman,asian,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
michael ruddy,max planck institute for mathematics in the sciences,A Only,man,white,noturm,highered,international,moreri,germany,ntt,lesssecure,math,mathstat
nathan ryan,bucknell university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
bruce reznick,university of illinois,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
marcella gomez,university of california santa cruz,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
lori ziegelmeier,macalester college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
katie ansaldi,wabash college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
heather zinn brooks,university of california los angeles,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
timothy j huber,university of texas rio grande valley,A Only,man,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
adam avilez,mesa community college,A Only,man,NA,NA,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
johnny guzman,brown university,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
breeanne swart,the citadel,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
ricela feliciano semidei,northern illinois university,A Only,woman,latinx,urm,highered,domesticr2,lessri,NA,assistant,lesssecure,mathed,mathed
richard mcgehee,university of minnesota,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
asamoah nkwanta,morgan state university,A Only,man,black,urm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
douglas norton,villanova university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
gloria mari beffa,university of wisconsin,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
jianzhong su,university of texas at arlington,A Only,man,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
megan cream,lehigh university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
keivan hassani monfared,university of calgary,A Only,man,middleeast,noturm,highered,international,moreri,canada,ntt,lesssecure,math,mathstat
jenny switkes,cal poly pomona,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
christopher tweddle,governors state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
berit givens,cal poly pomona,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
john h johnson jr,ohio state university,A Only,man,black,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
matt davis,muskingum university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
rodrigo trevino,university of maryland,A Only,man,NA,NA,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
marie snipes,kenyon college,A Only,woman,NA,NA,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
william malone,temecula valley unified school district,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
melissa sutherland,suny geneseo,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
rose uscanga,oklahoma state university,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
diane henderson,pennsylvania state university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
victor ocasio gonzalez,university of puerto rico,A Only,man,latinx,urm,highered,domesticr2,lessri,NA,grad,lesssecure,math,mathstat
megan selbach allen,stanford university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,NA,NA
cvetelina hill,georgia institute of technology,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
dustin ross,san francisco state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
juan b gutierrez,university of texas at san antonio,A Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
semra kilic bahi,colby sawyer college,A Only,woman,middleeast,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
kate poirier,city university of new york,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
justin r peters,iowa state university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
brian birgen,wartburg college,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
kyle besing,kentucky wesleyan college,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
hong qin,university of tennessee at chattanooga,A Only,man,asian,noturm,highered,domesticother,lessri,NA,associate,moresecure,comp,other
robert lemke oliver,tufts university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
ben blum smith,new school,A Only,man,white,noturm,highered,domesticr2,lessri,NA,NA,NA,math,mathstat
clara buck,iowa state university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
emily clader,san francisco state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
taylor short,grand valley state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
ximena catepillan,millersville university,A Only,woman,latinx,urm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
angie hodge,northern arizona university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,mathed,mathed
danny bernard martin,university of illinois at chicago,A Only,man,black,urm,highered,domesticr1,moreri,NA,professor,moresecure,mathed,mathed
fumiko futamura,southwestern university,A Only,woman,asian,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
cihan can,florida state university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
roberto soto,california state university fullerton,A Only,man,latinx,urm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
perla myers,university of san diego,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
lateefah id deen,kennesaw state university,A Only,woman,black,urm,highered,domesticr2,lessri,NA,assistant,lesssecure,mathed,mathed
"andrew d jones, jr",florida am university,A Only,man,black,urm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
alice nadeau,cornell university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
joshua mundinger,university of chicago,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
cheryl eames,southern illinois university edwardsville,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
julia webster,university of north carolina asheville,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
anton dochtermann,texas state university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,math,mathstat
nathan warnberg,university of wisconsin la crosse,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
sarah milstein,university of minnesota,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
katherine kinnaird,smith college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,comp,other
julien paupert,arizona state university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
timothy feeman,villanova university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
stephanie m kolitsch,university of tennessee at martin,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
brian lindaman,california state university chico,A Only,man,white,noturm,highered,domesticother,lessri,NA,NA,NA,math,mathstat
robert smith,university of ottawa,A Only,man,white,noturm,highered,international,moreri,canada,professor,moresecure,math,mathstat
bret benesh,college of saint benedict and saint johns university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
robert campbell,college of saint benedict and saint johns university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
ernest guico,university of georgia,A Only,man,NA,NA,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
carla cederbaum,university of tubingen,A Only,woman,white,noturm,highered,international,moreri,germany,professor,moresecure,math,mathstat
justin dong,brown university,A Only,man,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
talia fernos,university of north carolina greensboro,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
john meier,lafayette college,A Only,man,white,noturm,highered,domesticother,lessri,NA,staff,lesssecure,math,mathstat
david brown,ithaca college,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
sat gupta,university of north carolina greensboro,A Only,man,asian,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
maria cumplido cabello,heriot watt university,A Only,woman,white,noturm,highered,international,moreri,united kingdom,ntt,lesssecure,math,mathstat
laura lopez cruz,city university of new york,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
christopher natoli,city university of new york,A Only,man,NA,NA,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
komal agrawal,university of georgia,A Only,woman,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
daniel groves,university of illinois at chicago,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
christopher perez,university of illinois at chicago,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
colin adams,williams college,B Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
luana maroja,williams college,B Only,woman,latinx,urm,highered,domesticother,lessri,NA,associate,moresecure,other,other
