name,affiliation,lettergroup,inferredgender,inferredethnicity,inferredisurm,highered,institution,research,country,role,security,field,simplefield
chuu lian terng,university of california irvine,C Only,woman,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
susanna terracini,universita di torino,C Only,woman,white,noturm,highered,international,moreri,italy,professor,moresecure,math,mathstat
craig tracy,university of california davis,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
yuri tschinkel,new york university,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
srsrinivsa varadhan,new york university,C Only,man,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
vlad vicol,new york university,C Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
dan virgil voiculescu,university of california berkeley,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
wei min wang,new york university shanghai,C Only,woman,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
simone warzel,technical university of munich,C Only,woman,white,noturm,highered,international,moreri,germany,professor,moresecure,math,mathstat
guofang wei,university of california santa barbara,C Only,woman,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
paul yang,princeton university,C Only,man,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
guoliang yu,texas am university,C Only,man,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
efim zelmanov,university of california san diego,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
lola thompson,oberlin college,A and B,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
daniel freeman,saint louis university,A and B,man,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
ramin takloo bighash,university of illinois at chicago,A and B,man,middleeast,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
